asset_id,maintenance_type,maintenance_date,technician,cost,description,status
AST-0010,Preventive,2026-07-31 18:19:38.403936,TECH-001,1696.67,Routine IceStream equipment maintenance,completed
AST-0009,Emergency,2026-08-11 18:19:38.403936,TECH-009,3866.67,Routine IceStream equipment maintenance,completed
AST-0016,Emergency,2026-08-25 18:19:38.403936,TECH-004,1668.28,Routine IceStream equipment maintenance,completed
AST-0018,Inspection,2026-08-08 18:19:38.403936,TECH-004,770.4,Routine IceStream equipment maintenance,completed
AST-0015,Emergency,2026-08-08 18:19:38.403936,TECH-004,756.53,Routine IceStream equipment maintenance,scheduled
AST-0019,Emergency,2026-08-14 18:19:38.403936,TECH-004,1772.69,Routine IceStream equipment maintenance,scheduled
AST-0005,Emergency,2026-08-25 18:19:38.403936,TECH-002,3835.89,Routine IceStream equipment maintenance,scheduled
AST-0006,Corrective,2026-08-21 18:19:38.403936,TECH-013,192.42,Routine IceStream equipment maintenance,scheduled
AST-0010,Emergency,2026-08-22 18:19:38.403936,TECH-012,3881.34,Routine IceStream equipment maintenance,scheduled
AST-0015,Emergency,2026-08-02 18:19:38.403936,TECH-002,1854.7,Routine IceStream equipment maintenance,scheduled
AST-0004,Preventive,2026-08-12 18:19:38.403936,TECH-007,399.62,Routine IceStream equipment maintenance,scheduled
AST-0004,Inspection,2026-08-10 18:19:38.403936,TECH-009,3798.02,Routine IceStream equipment maintenance,scheduled
AST-0018,Corrective,2026-08-13 18:19:38.403936,TECH-002,1160.91,Routine IceStream equipment maintenance,scheduled
AST-0011,Inspection,2026-08-05 18:19:38.403936,TECH-017,178.13,Routine IceStream equipment maintenance,completed
AST-0015,Inspection,2026-08-24 18:19:38.403936,TECH-003,4218.63,Routine IceStream equipment maintenance,scheduled
AST-0015,Corrective,2026-08-10 18:19:38.403936,TECH-002,893.79,Routine IceStream equipment maintenance,completed
AST-0011,Inspection,2026-08-22 18:19:38.403936,TECH-013,3457.73,Routine IceStream equipment maintenance,scheduled
AST-0005,Emergency,2026-08-03 18:19:38.403936,TECH-018,2629.35,Routine IceStream equipment maintenance,scheduled
AST-0002,Emergency,2026-08-11 18:19:38.403936,TECH-014,1328.29,Routine IceStream equipment maintenance,completed
AST-0015,Emergency,2026-08-19 18:19:38.403936,TECH-007,804.7,Routine IceStream equipment maintenance,completed
AST-0007,Inspection,2026-08-04 18:19:38.403936,TECH-018,4837.79,Routine IceStream equipment maintenance,scheduled
AST-0016,Emergency,2026-08-20 18:19:38.403936,TECH-005,1854.86,Routine IceStream equipment maintenance,completed
AST-0007,Emergency,2026-08-21 18:19:38.403936,TECH-017,4195.89,Routine IceStream equipment maintenance,completed
AST-0014,Preventive,2026-08-23 18:19:38.403936,TECH-009,2633.36,Routine IceStream equipment maintenance,scheduled
AST-0019,Corrective,2026-08-03 18:19:38.403936,TECH-002,3500.22,Routine IceStream equipment maintenance,scheduled
AST-0008,Inspection,2026-07-29 18:19:38.403936,TECH-012,3962.21,Routine IceStream equipment maintenance,completed
AST-0016,Corrective,2026-08-16 18:19:38.403936,TECH-014,3736.8,Routine IceStream equipment maintenance,scheduled
AST-0020,Emergency,2026-08-11 18:19:38.403936,TECH-009,3904.91,Routine IceStream equipment maintenance,scheduled
AST-0007,Inspection,2026-08-11 18:19:38.403936,TECH-015,383.09,Routine IceStream equipment maintenance,scheduled
AST-0017,Emergency,2026-08-13 18:19:38.403936,TECH-011,1786.88,Routine IceStream equipment maintenance,completed
AST-0014,Preventive,2026-08-16 18:19:38.403936,TECH-001,1282.08,Routine IceStream equipment maintenance,scheduled
AST-0005,Corrective,2026-08-13 18:19:38.403936,TECH-007,4315.54,Routine IceStream equipment maintenance,completed
AST-0015,Corrective,2026-08-03 18:19:38.403936,TECH-002,3560.22,Routine IceStream equipment maintenance,completed
AST-0005,Emergency,2026-08-01 18:19:38.403936,TECH-004,3831.73,Routine IceStream equipment maintenance,scheduled
AST-0012,Emergency,2026-08-11 18:19:38.403936,TECH-020,691.39,Routine IceStream equipment maintenance,scheduled
AST-0004,Emergency,2026-08-03 18:19:38.403936,TECH-002,3919.25,Routine IceStream equipment maintenance,completed
AST-0020,Inspection,2026-08-01 18:19:38.403936,TECH-010,1414.2,Routine IceStream equipment maintenance,scheduled
AST-0019,Corrective,2026-07-30 18:19:38.403936,TECH-012,961.03,Routine IceStream equipment maintenance,completed
AST-0014,Preventive,2026-08-04 18:19:38.403936,TECH-019,4296.74,Routine IceStream equipment maintenance,completed
AST-0006,Preventive,2026-08-26 18:19:38.403936,TECH-006,3759.7,Routine IceStream equipment maintenance,completed
AST-0004,Inspection,2026-08-03 18:19:38.403936,TECH-013,1416.32,Routine IceStream equipment maintenance,completed
AST-0002,Emergency,2026-08-15 18:19:38.403936,TECH-001,4354.92,Routine IceStream equipment maintenance,scheduled
AST-0015,Preventive,2026-08-27 18:19:38.403936,TECH-007,4050.49,Routine IceStream equipment maintenance,completed
AST-0013,Corrective,2026-08-12 18:19:38.403936,TECH-002,4452.04,Routine IceStream equipment maintenance,completed
AST-0002,Inspection,2026-08-16 18:19:38.403936,TECH-007,1122.53,Routine IceStream equipment maintenance,scheduled
AST-0015,Corrective,2026-08-06 18:19:38.403936,TECH-009,1946.0,Routine IceStream equipment maintenance,completed
AST-0004,Emergency,2026-08-03 18:19:38.403936,TECH-019,1465.32,Routine IceStream equipment maintenance,scheduled
AST-0014,Corrective,2026-08-27 18:19:38.403936,TECH-018,126.11,Routine IceStream equipment maintenance,completed
AST-0019,Preventive,2026-08-21 18:19:38.403936,TECH-013,3805.54,Routine IceStream equipment maintenance,scheduled
AST-0009,Preventive,2026-08-03 18:19:38.403936,TECH-012,3117.33,Routine IceStream equipment maintenance,scheduled
AST-0004,Corrective,2026-08-21 18:19:38.403936,TECH-020,1201.85,Routine IceStream equipment maintenance,scheduled
AST-0006,Emergency,2026-08-03 18:19:38.403936,TECH-018,4319.78,Routine IceStream equipment maintenance,completed
AST-0019,Preventive,2026-08-24 18:19:38.403936,TECH-013,1188.82,Routine IceStream equipment maintenance,completed
AST-0010,Emergency,2026-07-30 18:19:38.403936,TECH-005,4169.18,Routine IceStream equipment maintenance,scheduled
AST-0015,Emergency,2026-08-18 18:19:38.403936,TECH-011,4137.91,Routine IceStream equipment maintenance,scheduled
AST-0006,Inspection,2026-08-09 18:19:38.403936,TECH-007,2981.75,Routine IceStream equipment maintenance,scheduled
AST-0020,Inspection,2026-07-29 18:19:38.403936,TECH-015,3641.65,Routine IceStream equipment maintenance,scheduled
AST-0010,Preventive,2026-08-11 18:19:38.403936,TECH-016,4969.21,Routine IceStream equipment maintenance,scheduled
AST-0001,Corrective,2026-07-30 18:19:38.403936,TECH-018,150.12,Routine IceStream equipment maintenance,completed
AST-0019,Corrective,2026-08-17 18:19:38.403936,TECH-002,912.93,Routine IceStream equipment maintenance,completed
AST-0012,Inspection,2026-08-26 18:19:38.403936,TECH-008,3136.51,Routine IceStream equipment maintenance,scheduled
AST-0009,Preventive,2026-08-16 18:19:38.403936,TECH-008,949.43,Routine IceStream equipment maintenance,completed
AST-0012,Corrective,2026-08-05 18:19:38.403936,TECH-007,949.23,Routine IceStream equipment maintenance,completed
AST-0008,Inspection,2026-07-31 18:19:38.403936,TECH-002,854.42,Routine IceStream equipment maintenance,scheduled
AST-0011,Inspection,2026-08-25 18:19:38.403936,TECH-002,656.26,Routine IceStream equipment maintenance,completed
AST-0011,Inspection,2026-08-08 18:19:38.403936,TECH-002,1207.58,Routine IceStream equipment maintenance,scheduled
AST-0019,Inspection,2026-08-20 18:19:38.403936,TECH-007,3156.53,Routine IceStream equipment maintenance,completed
AST-0007,Corrective,2026-08-07 18:19:38.403936,TECH-008,2031.16,Routine IceStream equipment maintenance,completed
AST-0019,Emergency,2026-08-02 18:19:38.403936,TECH-001,4078.04,Routine IceStream equipment maintenance,completed
AST-0012,Corrective,2026-08-01 18:19:38.403936,TECH-005,4175.1,Routine IceStream equipment maintenance,scheduled
AST-0009,Preventive,2026-08-03 18:19:38.403936,TECH-019,381.91,Routine IceStream equipment maintenance,scheduled
AST-0020,Emergency,2026-08-08 18:19:38.403936,TECH-020,3045.6,Routine IceStream equipment maintenance,completed
AST-0002,Preventive,2026-08-02 18:19:38.403936,TECH-008,4838.21,Routine IceStream equipment maintenance,scheduled
AST-0007,Preventive,2026-08-13 18:19:38.403936,TECH-015,1614.05,Routine IceStream equipment maintenance,scheduled
AST-0009,Corrective,2026-07-31 18:19:38.403936,TECH-001,1981.26,Routine IceStream equipment maintenance,scheduled
AST-0003,Corrective,2026-08-26 18:19:38.403936,TECH-015,1775.3,Routine IceStream equipment maintenance,completed
AST-0019,Corrective,2026-08-03 18:19:38.403936,TECH-013,2287.06,Routine IceStream equipment maintenance,completed
AST-0004,Emergency,2026-08-09 18:19:38.403936,TECH-008,3640.48,Routine IceStream equipment maintenance,completed
AST-0014,Inspection,2026-08-13 18:19:38.403936,TECH-011,840.61,Routine IceStream equipment maintenance,scheduled
AST-0009,Emergency,2026-08-01 18:19:38.403936,TECH-005,3535.98,Routine IceStream equipment maintenance,scheduled
AST-0004,Emergency,2026-08-23 18:19:38.403936,TECH-008,229.6,Routine IceStream equipment maintenance,completed
AST-0018,Inspection,2026-08-08 18:19:38.403936,TECH-005,1425.36,Routine IceStream equipment maintenance,completed
AST-0006,Preventive,2026-07-31 18:19:38.403936,TECH-012,3486.31,Routine IceStream equipment maintenance,scheduled
AST-0012,Preventive,2026-08-08 18:19:38.403936,TECH-004,1427.44,Routine IceStream equipment maintenance,completed
AST-0004,Preventive,2026-08-07 18:19:38.403936,TECH-008,3364.33,Routine IceStream equipment maintenance,completed
AST-0017,Emergency,2026-08-13 18:19:38.403936,TECH-019,2358.88,Routine IceStream equipment maintenance,completed
AST-0009,Emergency,2026-08-17 18:19:38.403936,TECH-005,1934.37,Routine IceStream equipment maintenance,scheduled
AST-0005,Corrective,2026-07-31 18:19:38.403936,TECH-017,2771.76,Routine IceStream equipment maintenance,scheduled
AST-0011,Preventive,2026-08-16 18:19:38.403936,TECH-006,3706.17,Routine IceStream equipment maintenance,completed
AST-0010,Emergency,2026-08-13 18:19:38.403936,TECH-002,2213.97,Routine IceStream equipment maintenance,scheduled
AST-0019,Corrective,2026-08-28 18:19:38.403936,TECH-007,4415.08,Routine IceStream equipment maintenance,completed
AST-0019,Emergency,2026-08-09 18:19:38.403936,TECH-004,1854.05,Routine IceStream equipment maintenance,completed
AST-0006,Inspection,2026-08-12 18:19:38.403936,TECH-018,3361.01,Routine IceStream equipment maintenance,scheduled
AST-0009,Preventive,2026-08-26 18:19:38.403936,TECH-017,1734.36,Routine IceStream equipment maintenance,scheduled
AST-0017,Corrective,2026-08-24 18:19:38.403936,TECH-018,941.8,Routine IceStream equipment maintenance,scheduled
AST-0014,Emergency,2026-08-02 18:19:38.403936,TECH-013,3963.83,Routine IceStream equipment maintenance,completed
AST-0017,Inspection,2026-08-10 18:19:38.403936,TECH-016,714.11,Routine IceStream equipment maintenance,completed
AST-0012,Inspection,2026-08-27 18:19:38.403936,TECH-007,4325.09,Routine IceStream equipment maintenance,scheduled
AST-0012,Preventive,2026-08-23 18:19:38.403936,TECH-019,2019.77,Routine IceStream equipment maintenance,completed
AST-0006,Corrective,2026-08-25 18:19:38.403936,TECH-012,142.25,Routine IceStream equipment maintenance,completed
AST-0018,Corrective,2026-08-09 18:19:38.403936,TECH-013,923.21,Routine IceStream equipment maintenance,scheduled
AST-0015,Corrective,2026-08-15 18:19:38.403936,TECH-014,1024.64,Routine IceStream equipment maintenance,scheduled
AST-0006,Preventive,2026-07-31 18:19:38.403936,TECH-006,3985.3,Routine IceStream equipment maintenance,completed
AST-0009,Preventive,2026-08-07 18:19:38.403936,TECH-019,2909.65,Routine IceStream equipment maintenance,completed
AST-0001,Emergency,2026-08-10 18:19:38.403936,TECH-006,4174.23,Routine IceStream equipment maintenance,scheduled
AST-0002,Corrective,2026-08-11 18:19:38.403936,TECH-013,101.21,Routine IceStream equipment maintenance,scheduled
AST-0002,Inspection,2026-08-11 18:19:38.403936,TECH-007,1007.05,Routine IceStream equipment maintenance,scheduled
AST-0010,Preventive,2026-07-29 18:19:38.403936,TECH-008,3111.16,Routine IceStream equipment maintenance,completed
AST-0003,Corrective,2026-08-05 18:19:38.403936,TECH-012,3838.78,Routine IceStream equipment maintenance,completed
AST-0005,Corrective,2026-08-07 18:19:38.403936,TECH-015,558.87,Routine IceStream equipment maintenance,completed
AST-0013,Preventive,2026-08-20 18:19:38.403936,TECH-002,2157.37,Routine IceStream equipment maintenance,completed
AST-0017,Corrective,2026-08-12 18:19:38.403936,TECH-016,3329.47,Routine IceStream equipment maintenance,scheduled
AST-0013,Inspection,2026-08-10 18:19:38.403936,TECH-004,4625.0,Routine IceStream equipment maintenance,scheduled
AST-0002,Emergency,2026-08-11 18:19:38.403936,TECH-005,2015.52,Routine IceStream equipment maintenance,completed
AST-0017,Inspection,2026-07-29 18:19:38.403936,TECH-001,2904.97,Routine IceStream equipment maintenance,completed
AST-0015,Corrective,2026-08-04 18:19:38.403936,TECH-009,2175.93,Routine IceStream equipment maintenance,scheduled
AST-0014,Corrective,2026-08-25 18:19:38.403936,TECH-008,3399.15,Routine IceStream equipment maintenance,completed
AST-0007,Emergency,2026-08-01 18:19:38.403936,TECH-001,3250.28,Routine IceStream equipment maintenance,scheduled
AST-0010,Preventive,2026-08-28 18:19:38.403936,TECH-014,1568.38,Routine IceStream equipment maintenance,completed
AST-0004,Emergency,2026-08-09 18:19:38.403936,TECH-009,4509.65,Routine IceStream equipment maintenance,scheduled
AST-0004,Corrective,2026-08-12 18:19:38.403936,TECH-006,2373.22,Routine IceStream equipment maintenance,scheduled
AST-0017,Inspection,2026-08-13 18:19:38.403936,TECH-014,4482.05,Routine IceStream equipment maintenance,completed
AST-0014,Corrective,2026-08-23 18:19:38.403936,TECH-009,3061.59,Routine IceStream equipment maintenance,completed
AST-0020,Preventive,2026-08-24 18:19:38.403936,TECH-009,4412.0,Routine IceStream equipment maintenance,completed
AST-0016,Inspection,2026-08-25 18:19:38.403936,TECH-011,590.43,Routine IceStream equipment maintenance,scheduled
AST-0001,Preventive,2026-08-24 18:19:38.403936,TECH-016,3136.64,Routine IceStream equipment maintenance,completed
AST-0006,Inspection,2026-08-20 18:19:38.403936,TECH-006,301.76,Routine IceStream equipment maintenance,completed
AST-0010,Corrective,2026-08-12 18:19:38.403936,TECH-010,1406.38,Routine IceStream equipment maintenance,scheduled
AST-0003,Emergency,2026-08-03 18:19:38.403936,TECH-008,1416.47,Routine IceStream equipment maintenance,scheduled
AST-0011,Corrective,2026-08-14 18:19:38.403936,TECH-013,2905.74,Routine IceStream equipment maintenance,scheduled
AST-0019,Preventive,2026-08-03 18:19:38.403936,TECH-012,4383.32,Routine IceStream equipment maintenance,scheduled
AST-0008,Emergency,2026-08-24 18:19:38.403936,TECH-005,2148.31,Routine IceStream equipment maintenance,completed
AST-0009,Emergency,2026-08-03 18:19:38.403936,TECH-007,2627.02,Routine IceStream equipment maintenance,scheduled
AST-0003,Preventive,2026-08-28 18:19:38.403936,TECH-001,3018.54,Routine IceStream equipment maintenance,completed
AST-0017,Inspection,2026-08-18 18:19:38.403936,TECH-011,2460.37,Routine IceStream equipment maintenance,scheduled
AST-0006,Preventive,2026-08-10 18:19:38.403936,TECH-009,1248.83,Routine IceStream equipment maintenance,completed
AST-0002,Corrective,2026-08-13 18:19:38.403936,TECH-018,480.5,Routine IceStream equipment maintenance,scheduled
AST-0002,Inspection,2026-08-13 18:19:38.403936,TECH-014,3711.49,Routine IceStream equipment maintenance,scheduled
AST-0008,Emergency,2026-08-14 18:19:38.403936,TECH-017,1383.43,Routine IceStream equipment maintenance,completed
AST-0015,Preventive,2026-08-10 18:19:38.403936,TECH-013,503.54,Routine IceStream equipment maintenance,scheduled
AST-0012,Emergency,2026-08-06 18:19:38.403936,TECH-014,4260.49,Routine IceStream equipment maintenance,completed
AST-0013,Corrective,2026-08-10 18:19:38.403936,TECH-018,4630.62,Routine IceStream equipment maintenance,completed
AST-0012,Inspection,2026-08-26 18:19:38.403936,TECH-003,2645.39,Routine IceStream equipment maintenance,completed
AST-0002,Corrective,2026-08-12 18:19:38.403936,TECH-016,4630.06,Routine IceStream equipment maintenance,completed
AST-0019,Preventive,2026-07-29 18:19:38.403936,TECH-017,1609.52,Routine IceStream equipment maintenance,completed
AST-0015,Emergency,2026-07-29 18:19:38.403936,TECH-010,4883.84,Routine IceStream equipment maintenance,scheduled
AST-0014,Emergency,2026-07-30 18:19:38.403936,TECH-011,4507.18,Routine IceStream equipment maintenance,completed
AST-0008,Emergency,2026-08-06 18:19:38.403936,TECH-014,3001.49,Routine IceStream equipment maintenance,completed
AST-0007,Preventive,2026-08-10 18:19:38.403936,TECH-016,3258.6,Routine IceStream equipment maintenance,completed
AST-0001,Emergency,2026-08-13 18:19:38.403936,TECH-004,2785.17,Routine IceStream equipment maintenance,completed
AST-0006,Corrective,2026-08-11 18:19:38.403936,TECH-014,4450.48,Routine IceStream equipment maintenance,scheduled
AST-0019,Inspection,2026-08-22 18:19:38.403936,TECH-003,3110.11,Routine IceStream equipment maintenance,scheduled
AST-0017,Emergency,2026-08-08 18:19:38.403936,TECH-007,2561.67,Routine IceStream equipment maintenance,scheduled
AST-0020,Preventive,2026-08-10 18:19:38.403936,TECH-016,3782.01,Routine IceStream equipment maintenance,scheduled
AST-0007,Inspection,2026-08-19 18:19:38.403936,TECH-006,3512.24,Routine IceStream equipment maintenance,scheduled
AST-0013,Preventive,2026-08-21 18:19:38.403936,TECH-011,4014.22,Routine IceStream equipment maintenance,scheduled
AST-0001,Inspection,2026-08-16 18:19:38.403936,TECH-005,781.09,Routine IceStream equipment maintenance,completed
AST-0015,Preventive,2026-08-06 18:19:38.403936,TECH-018,2170.68,Routine IceStream equipment maintenance,completed
AST-0018,Emergency,2026-08-19 18:19:38.403936,TECH-015,245.72,Routine IceStream equipment maintenance,scheduled
AST-0007,Corrective,2026-08-24 18:19:38.403936,TECH-002,3836.43,Routine IceStream equipment maintenance,scheduled
AST-0006,Preventive,2026-08-13 18:19:38.403936,TECH-007,4723.18,Routine IceStream equipment maintenance,completed
AST-0017,Preventive,2026-08-19 18:19:38.403936,TECH-019,4100.37,Routine IceStream equipment maintenance,completed
AST-0016,Preventive,2026-08-15 18:19:38.403936,TECH-005,2151.53,Routine IceStream equipment maintenance,scheduled
AST-0007,Corrective,2026-08-12 18:19:38.403936,TECH-003,2341.95,Routine IceStream equipment maintenance,completed
AST-0018,Emergency,2026-08-24 18:19:38.403936,TECH-010,3092.66,Routine IceStream equipment maintenance,completed
AST-0013,Inspection,2026-08-03 18:19:38.403936,TECH-001,1110.61,Routine IceStream equipment maintenance,completed
AST-0003,Corrective,2026-08-28 18:19:38.403936,TECH-011,1582.19,Routine IceStream equipment maintenance,completed
