asset_id,product_id,quantity,reorder_level,warehouse_location,updated_at
AST-0013,PROD-0033,784,229,Delhi,2026-08-28 18:19:38.702046
AST-0012,PROD-0034,73,256,Kolkata,2026-08-28 18:19:38.702049
AST-0011,PROD-0035,194,274,Mumbai,2026-08-28 18:19:38.702052
AST-0016,PROD-0036,263,259,Delhi,2026-08-28 18:19:38.702055
AST-0006,PROD-0037,406,209,Delhi,2026-08-28 18:19:38.702058
AST-0007,PROD-0038,163,253,Delhi,2026-08-28 18:19:38.702062
AST-0011,PROD-0039,424,159,Hyderabad,2026-08-28 18:19:38.702064
AST-0006,PROD-0040,463,227,Mumbai,2026-08-28 18:19:38.702067
AST-0011,PROD-0041,813,143,Bangalore,2026-08-28 18:19:38.702070
AST-0012,PROD-0042,580,139,Chennai,2026-08-28 18:19:38.702074
AST-0014,PROD-0043,82,202,Hyderabad,2026-08-28 18:19:38.702077
AST-0018,PROD-0044,85,136,Kolkata,2026-08-28 18:19:38.702080
AST-0020,PROD-0045,137,107,Delhi,2026-08-28 18:19:38.702083
AST-0012,PROD-0046,586,285,Bangalore,2026-08-28 18:19:38.702086
AST-0005,PROD-0047,606,173,Chennai,2026-08-28 18:19:38.702089
AST-0003,PROD-0048,330,296,Mumbai,2026-08-28 18:19:38.702092
AST-0007,PROD-0049,43,138,Pune,2026-08-28 18:19:38.702097
AST-0011,PROD-0050,323,293,Delhi,2026-08-28 18:19:38.702100
AST-0019,PROD-0051,411,159,Mumbai,2026-08-28 18:19:38.702103
AST-0008,PROD-0052,474,271,Delhi,2026-08-28 18:19:38.702107
AST-0005,PROD-0053,661,204,Bangalore,2026-08-28 18:19:38.702111
AST-0020,PROD-0054,740,175,Delhi,2026-08-28 18:19:38.702114
AST-0006,PROD-0055,43,210,Mumbai,2026-08-28 18:19:38.702118
AST-0003,PROD-0056,343,269,Hyderabad,2026-08-28 18:19:38.702121
AST-0020,PROD-0057,526,106,Delhi,2026-08-28 18:19:38.702123
AST-0018,PROD-0058,347,124,Bangalore,2026-08-28 18:19:38.702127
AST-0007,PROD-0059,741,127,Bangalore,2026-08-28 18:19:38.702130
AST-0018,PROD-0060,778,110,Chennai,2026-08-28 18:19:38.702133
AST-0009,PROD-0061,587,236,Kolkata,2026-08-28 18:19:38.702138
AST-0008,PROD-0062,721,140,Chennai,2026-08-28 18:19:38.702141
AST-0003,PROD-0063,181,138,Chennai,2026-08-28 18:19:38.702145
AST-0006,PROD-0064,800,119,Hyderabad,2026-08-28 18:19:38.702148
AST-0010,PROD-0065,523,269,Chennai,2026-08-28 18:19:38.702152
AST-0012,PROD-0066,551,139,Kolkata,2026-08-28 18:19:38.702156
AST-0014,PROD-0067,556,206,Pune,2026-08-28 18:19:38.702159
AST-0016,PROD-0068,411,176,Chennai,2026-08-28 18:19:38.702164
AST-0004,PROD-0069,781,249,Chennai,2026-08-28 18:19:38.702167
AST-0017,PROD-0070,334,167,Pune,2026-08-28 18:19:38.702170
AST-0018,PROD-0071,59,199,Hyderabad,2026-08-28 18:19:38.702173
AST-0010,PROD-0072,768,134,Kolkata,2026-08-28 18:19:38.702176
AST-0001,PROD-0073,43,199,Bangalore,2026-08-28 18:19:38.702179
AST-0019,PROD-0074,950,228,Mumbai,2026-08-28 18:19:38.702182
AST-0015,PROD-0075,653,234,Mumbai,2026-08-28 18:19:38.702185
AST-0008,PROD-0076,851,180,Pune,2026-08-28 18:19:38.702188
AST-0011,PROD-0077,794,288,Mumbai,2026-08-28 18:19:38.702191
AST-0013,PROD-0078,288,202,Delhi,2026-08-28 18:19:38.702197
AST-0010,PROD-0079,793,290,Chennai,2026-08-28 18:19:38.702200
AST-0020,PROD-0080,445,285,Bangalore,2026-08-28 18:19:38.702204
AST-0007,PROD-0081,303,268,Bangalore,2026-08-28 18:19:38.702206
AST-0004,PROD-0082,625,136,Delhi,2026-08-28 18:19:38.702209
AST-0014,PROD-0083,828,137,Bangalore,2026-08-28 18:19:38.702213
AST-0003,PROD-0084,197,146,Chennai,2026-08-28 18:19:38.702217
AST-0010,PROD-0085,706,116,Chennai,2026-08-28 18:19:38.702220
AST-0010,PROD-0086,167,256,Hyderabad,2026-08-28 18:19:38.702224
AST-0018,PROD-0087,222,128,Hyderabad,2026-08-28 18:19:38.702227
AST-0016,PROD-0088,960,230,Pune,2026-08-28 18:19:38.702232
AST-0004,PROD-0089,92,220,Kolkata,2026-08-28 18:19:38.702235
AST-0020,PROD-0090,457,139,Kolkata,2026-08-28 18:19:38.702238
AST-0014,PROD-0091,602,256,Pune,2026-08-28 18:19:38.702241
AST-0020,PROD-0092,284,247,Delhi,2026-08-28 18:19:38.702244
AST-0017,PROD-0093,98,266,Bangalore,2026-08-28 18:19:38.702247
AST-0017,PROD-0094,715,150,Chennai,2026-08-28 18:19:38.702251
AST-0018,PROD-0095,20,114,Bangalore,2026-08-28 18:19:38.702254
AST-0014,PROD-0096,432,204,Chennai,2026-08-28 18:19:38.702257
AST-0006,PROD-0097,723,100,Chennai,2026-08-28 18:19:38.702261
AST-0001,PROD-0098,356,150,Delhi,2026-08-28 18:19:38.702264
AST-0006,PROD-0099,552,186,Bangalore,2026-08-28 18:19:38.702267
AST-0018,PROD-0100,405,148,Kolkata,2026-08-28 18:19:38.702270
